127.0.0.1 - - [07/Mar/2019:10:22:17 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [07/Mar/2019:10:22:22 -0300] "GET /Financeiro/pages/produto.xhtml HTTP/1.1" 200 29751
0:0:0:0:0:0:0:1 - - [07/Mar/2019:10:22:22 -0300] "GET /Financeiro/javax.faces.resource/estilo.css.xhtml;jsessionid=230AA2DD205A7283336444F59911A16E?ln=css HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [07/Mar/2019:10:22:22 -0300] "GET /Financeiro/javax.faces.resource/layout/layout.css.xhtml;jsessionid=230AA2DD205A7283336444F59911A16E?ln=primefaces&v=5.2 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [07/Mar/2019:10:22:22 -0300] "GET /Financeiro/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2019:10:22:22 -0300] "GET /Financeiro/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=230AA2DD205A7283336444F59911A16E?ln=primefaces&v=5.2 HTTP/1.1" 200 108195
0:0:0:0:0:0:0:1 - - [07/Mar/2019:10:22:22 -0300] "GET /Financeiro/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=230AA2DD205A7283336444F59911A16E?ln=primefaces&v=5.2 HTTP/1.1" 200 240240
0:0:0:0:0:0:0:1 - - [07/Mar/2019:10:22:22 -0300] "GET /Financeiro/javax.faces.resource/fileupload/fileupload.css.xhtml;jsessionid=230AA2DD205A7283336444F59911A16E?ln=primefaces&v=5.2 HTTP/1.1" 200 1700
0:0:0:0:0:0:0:1 - - [07/Mar/2019:10:22:22 -0300] "GET /Financeiro/javax.faces.resource/layout/layout.js.xhtml;jsessionid=230AA2DD205A7283336444F59911A16E?ln=primefaces&v=5.2 HTTP/1.1" 200 87647
0:0:0:0:0:0:0:1 - - [07/Mar/2019:10:22:22 -0300] "GET /Financeiro/javax.faces.resource/primefaces.js.xhtml;jsessionid=230AA2DD205A7283336444F59911A16E?ln=primefaces&v=5.2 HTTP/1.1" 200 340589
0:0:0:0:0:0:0:1 - - [07/Mar/2019:10:22:22 -0300] "GET /Financeiro/javax.faces.resource/fileupload/fileupload.js.xhtml;jsessionid=230AA2DD205A7283336444F59911A16E?ln=primefaces&v=5.2 HTTP/1.1" 200 31942
0:0:0:0:0:0:0:1 - - [07/Mar/2019:10:22:22 -0300] "GET /Financeiro/javax.faces.resource/primefaces.css.xhtml;jsessionid=230AA2DD205A7283336444F59911A16E?ln=primefaces&v=5.2 HTTP/1.1" 200 63514
0:0:0:0:0:0:0:1 - - [07/Mar/2019:10:22:23 -0300] "GET /Financeiro/javax.faces.resource/scripts.js.xhtml;jsessionid=230AA2DD205A7283336444F59911A16E?ln=js HTTP/1.1" 200 8934
0:0:0:0:0:0:0:1 - - [07/Mar/2019:10:22:23 -0300] "GET /Financeiro/javax.faces.resource/dynamiccontent.properties.xhtml;jsessionid=230AA2DD205A7283336444F59911A16E?ln=primefaces&pfdrid=wSMrNu61xjsZR94%2FR7ViN6MVRlsesky3&pfdrt=sc&caminho=&pfdrid_c=true HTTP/1.1" 200 643
0:0:0:0:0:0:0:1 - - [07/Mar/2019:10:22:23 -0300] "GET /Financeiro/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2019:10:22:23 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [07/Mar/2019:10:22:33 -0300] "POST /Financeiro/pages/produto.xhtml;jsessionid=230AA2DD205A7283336444F59911A16E HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [07/Mar/2019:10:22:34 -0300] "POST /Financeiro/pages/produto.xhtml;jsessionid=230AA2DD205A7283336444F59911A16E HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [07/Mar/2019:10:22:36 -0300] "POST /Financeiro/pages/produto.xhtml;jsessionid=230AA2DD205A7283336444F59911A16E HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [07/Mar/2019:10:22:36 -0300] "POST /Financeiro/pages/produto.xhtml;jsessionid=230AA2DD205A7283336444F59911A16E HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [07/Mar/2019:10:22:39 -0300] "POST /Financeiro/pages/produto.xhtml;jsessionid=230AA2DD205A7283336444F59911A16E HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [07/Mar/2019:10:22:40 -0300] "POST /Financeiro/pages/produto.xhtml;jsessionid=230AA2DD205A7283336444F59911A16E HTTP/1.1" 200 7967
0:0:0:0:0:0:0:1 - - [07/Mar/2019:10:22:41 -0300] "POST /Financeiro/pages/produto.xhtml;jsessionid=230AA2DD205A7283336444F59911A16E HTTP/1.1" 200 7967
0:0:0:0:0:0:0:1 - - [07/Mar/2019:10:22:43 -0300] "POST /Financeiro/pages/produto.xhtml;jsessionid=230AA2DD205A7283336444F59911A16E HTTP/1.1" 200 7967
0:0:0:0:0:0:0:1 - - [07/Mar/2019:10:22:43 -0300] "POST /Financeiro/pages/produto.xhtml;jsessionid=230AA2DD205A7283336444F59911A16E HTTP/1.1" 200 4150
0:0:0:0:0:0:0:1 - - [07/Mar/2019:10:22:45 -0300] "POST /Financeiro/pages/produto.xhtml;jsessionid=230AA2DD205A7283336444F59911A16E HTTP/1.1" 200 2248
